player,attack angle,body direction,bat direction,hand speed,hinge angle,bat speed,velocity vector2,velocity vector,vertical bat angle,body rotation rate,bat rotation rate,x_knob,y_knob,z_knob,x_barrel,y_barrel,z_barrel
Player 1,-0.36526293,-1.6910108,4.134068,0.37561387,-0.8722378,0.5820965,"[-0.276748, 0.5013101, -0.21898583]","[-0.20214888, 0.31392875, -0.04086984]",0.8229924,0.2534532,-0.7810008,0.6544187,-0.8275981,0.7394665,0.6296483,-0.46571666,1.1305468
Player 1,-0.37462673,-1.6904958,4.13511,0.37603927,-0.873795,0.58028513,"[-0.26949555, 0.49977568, -0.22325875]","[-0.20361516, 0.31281874, -0.04572556]",0.8220145,0.26273257,-0.7773491,0.65401566,-0.8269714,0.7393801,0.62911373,-0.46471587,1.1301056
Player 1,-0.3858653,-1.6899618,4.1361256,0.37661546,-0.87534446,0.5794025,"[-0.26100653, 0.49912664, -0.22880937]","[-0.20503277, 0.31174338, -0.05115499]",0.821037,0.27269274,-0.773834,0.65361017,-0.82634664,0.73928326,0.6285964,-0.46371612,1.1296536
Player 1,-0.39753333,-1.6894066,4.1371155,0.37731388,-0.8768898,0.5790731,"[-0.25338545, 0.4982139, -0.2346953]","[-0.20679672, 0.3104226, -0.05690953]",0.8200598,0.2831457,-0.7693375,0.6532013,-0.8257243,0.7391752,0.6280946,-0.462718,1.1291901
Player 1,-0.40909675,-1.6888293,4.138077,0.37778723,-0.8784285,0.5777362,"[-0.24571508, 0.49613002, -0.24003632]","[-0.20862156, 0.308638, -0.06279191]",0.8190865,0.29388407,-0.76240057,0.6527889,-0.82510525,0.7390557,0.6276082,-0.46172374,1.1287163
Player 1,-0.42053705,-1.6882306,4.1389995,0.37770352,-0.8799497,0.5738259,"[-0.23614836, 0.4922773, -0.24417506]","[-0.21008016, 0.30627924, -0.06869724]",0.818124,0.30521497,-0.7529206,0.6523736,-0.8244907,0.7389248,0.62714106,-0.46073705,1.1282346
Player 1,-0.4313952,-1.6876107,4.1398735,0.37725344,-0.8814437,0.5673213,"[-0.22562595, 0.4863344, -0.24678335]","[-0.2114388, 0.3033935, -0.07460675]",0.8171805,0.31779945,-0.7427179,0.6519559,-0.8238819,0.7387826,0.6266951,-0.45976222,1.1277483
Player 1,-0.4395794,-1.6869649,4.140697,0.38025638,-0.8829132,0.56264114,"[-0.21892314, 0.48144066, -0.24871399]","[-0.2154198, 0.3027324, -0.08088446]",0.8162618,0.33204702,-0.7340411,0.6515324,-0.8232771,0.7386285,0.62626487,-0.45879978,1.1272587
Player 1,-0.44778985,-1.6862869,4.141476,0.38402772,-0.8843702,0.5594187,"[-0.21516141, 0.47652927, -0.25114277]","[-0.22026218, 0.3021328, -0.08762216]",0.8153676,0.3478985,-0.7274394,0.65109944,-0.82267356,0.7384614,0.6258424,-0.45784727,1.1267647
Player 1,-0.45715463,-1.6855743,4.1422153,0.3882918,-0.885822,0.55779827,"[-0.21228886, 0.47235414, -0.25474334]","[-0.22545578, 0.30156696, -0.09485566]",0.814494,0.36443087,-0.72061527,0.6506563,-0.8220709,0.73828006,0.6254258,-0.4569029,1.1262637
